Date,Name,Signal,Prediction,Duration,Cumulative Value
2020-07-06,YRCW,24.642807088086826,0.11,Today to 3 days ahead,2.710708779689551
2020-07-06,IDEX,4.89238287357681,0.4,3 months,1.956953149430724
2020-07-06,CLSN,5.47440760989124,0.45,3 months,2.463483424451058
2020-07-06,CPST,6.717847120058254,0.45,3 months,3.023031204026214
2020-07-06,DPW,6.907852256006753,0.42,3 months,2.901297947522836
2020-07-06,USAK,7.248106426143709,0.39,3 months,2.8267615061960463
2020-07-06,AR,7.365312813313836,0.36,3 months,2.651512612792981
2020-07-06,FRAN,8.135271964216322,0.33,3 months,2.6846397481913864
2020-07-06,TUP,12.797764376925786,0.44,3 months,5.631016325847345
2020-07-06,YRCW,39.27085155900195,0.43,3 months,16.886466170370838
2020-07-06,NAT,-1.930273308593523,0.38,1 month,-0.7335038572655388
2020-07-06,ICAD,-1.5245134198326482,0.27,1 month,-0.411618623354815
2020-07-06,QUIK,-1.4534836500095476,0.31,1 month,-0.4505799315029598
2020-07-06,DVAX,4.641718909495965,0.37,3 months,1.7174359965135069
2020-07-06,DHX,-1.4214175611429263,0.29,1 month,-0.41221109273144857
2020-07-06,RRGB,-1.3824082565106366,0.29,1 month,-0.4008983943880846
2020-07-06,BGG,-1.3349067927627958,0.44,1 month,-0.5873589888156302
2020-07-06,FRO,-1.1963649627246968,0.21,1 month,-0.25123664217218633
2020-07-06,PHX,-1.1465017450572323,0.4,1 month,-0.45860069802289294
2020-07-06,DHT,-1.0273962737814846,0.14,1 month,-0.14383547832940785
2020-07-06,NTZ,2.9558905618122826,0.39,1 month,1.1527973191067902
2020-07-06,DVAX,2.9687604400838965,0.23,1 month,0.6828149012192962
2020-07-06,CLSN,3.570265832537764,0.29,1 month,1.0353770914359515
2020-07-06,IDEX,3.782791252228761,0.25,1 month,0.9456978130571903
2020-07-06,CPST,3.834166941424136,0.26,1 month,0.9968834047702755
2020-07-06,DPW,3.8388477265088183,0.28,1 month,1.0748773634224693
2020-07-06,USAK,4.587028206818113,0.24,1 month,1.1008867696363471
2020-07-06,ERII,-1.4145714968673464,0.17,1 month,-0.2404771544674489
2020-07-06,FRAN,7.114424514020317,0.26,1 month,1.8497503736452823
2020-07-06,FIT,-1.3633435167151458,0.46,3 months,-0.627138017688967
2020-07-06,BGG,-1.5190318676266295,0.53,3 months,-0.8050868898421136
2020-07-06,NAT,-258.49462321711536,0.74,year,-191.28602118066536
2020-07-06,MACK,-233.7381455511632,0.59,year,-137.9055058751863
2020-07-06,ICAD,-210.14865917588259,0.61,year,-128.19068209728837
2020-07-06,TELL,-177.38563531136472,0.53,year,-94.0143867150233
2020-07-06,CDE,-169.9492729259964,0.54,year,-91.77260738003807
2020-07-06,PHX,-146.03144356906094,0.53,year,-77.3966650916023
2020-07-06,ERII,-138.17165827580686,0.57,year,-78.7578452172099
2020-07-06,RRGB,-125.94567407385671,0.51,year,-64.23229377766692
2020-07-06,PTEN,-123.6923167646366,0.51,year,-63.08308154996467
2020-07-06,MHLD,446.9728162422456,0.53,year,236.89559260839016
2020-07-06,IMGN,458.3650677665715,0.74,year,339.1901501472629
2020-07-06,AR,459.99693483739657,0.52,year,239.19840611544623
2020-07-06,DHT,-1.4547704813324602,0.29,3 months,-0.42188343958641344
2020-07-06,CPST,495.00573957292914,0.6,year,297.0034437437575
2020-07-06,USAK,528.1448522094785,0.62,year,327.4498083698767
2020-07-06,GTT,595.4664485831515,0.63,year,375.1438626073855
2020-07-06,FRAN,693.152998679011,0.58,year,402.0287392338264
2020-07-06,TUP,739.5925604964125,0.57,year,421.56775948295507
2020-07-06,YRCW,2183.398557483552,0.66,year,1441.0430479391443
2020-07-06,NAT,-2.804305617941918,0.57,3 months,-1.598454202226893
2020-07-06,ICAD,-2.3704689057397843,0.42,3 months,-0.9955969404107093
2020-07-06,DHX,-2.3001993641468306,0.44,3 months,-1.0120877202246055
2020-07-06,FRO,-1.9101865395294089,0.39,3 months,-0.7449727504164695
2020-07-06,ERII,-1.874524192167772,0.32,3 months,-0.599847741493687
2020-07-06,PHX,-1.6945295791945891,0.47,3 months,-0.7964289022214568
2020-07-06,RRGB,-1.5576896861638998,0.4,3 months,-0.62307587446556
2020-07-06,DPW,521.3042341745563,0.66,year,344.06079455520717
2020-07-06,TUP,8.03660595789916,0.27,1 month,2.1698836086327735
2020-07-06,YRCW,33.428906698985145,0.26,1 month,8.691515741736138
2020-07-06,BGG,-1.611094405058546,0.33,14 days,-0.5316611536693202
2020-07-06,DVAX,1.0264044715716558,0.13,7 days,0.13343258130431526
2020-07-06,PRGX,1.4413592597326759,0.22,7 days,0.3170990371411887
2020-07-06,HIMX,1.7152155305801993,0.1,7 days,0.17152155305801994
2020-07-06,CPST,1.7640389919577428,0.15,7 days,0.2646058487936614
2020-07-06,USAK,1.8055781132742337,0.14,7 days,0.25278093585839273
2020-07-06,TUP,2.810804367859092,0.17,7 days,0.4778367425360457
2020-07-06,FRAN,3.7998210646184685,0.21,7 days,0.7979624235698783
2020-07-06,YRCW,27.33195630936441,0.15,7 days,4.099793446404662
2020-07-06,ERII,-1.5360684352485912,0.06,Today to 3 days ahead,-0.09216410611491546
2020-07-06,BGG,-1.058719180467045,0.18,Today to 3 days ahead,-0.1905694524840681
2020-07-06,IDEX,-0.9821697776418946,0.11,Today to 3 days ahead,-0.1080386755406084
2020-07-06,VKTX,-0.9256027062418752,0.13,Today to 3 days ahead,-0.12032835181144379
2020-07-06,OI,1.0128901787703466,0.24,7 days,0.24309364290488317
2020-07-06,PTEN,-0.6967452216202117,0.24,Today to 3 days ahead,-0.1672188531888508
2020-07-06,QUIK,-0.5204210526517237,0.1,Today to 3 days ahead,-0.05204210526517237
2020-07-06,BPT,-0.49871467983496853,0.13,Today to 3 days ahead,-0.06483290837854591
2020-07-06,RRGB,-0.45970035324157543,0.11,Today to 3 days ahead,-0.0505670388565733
2020-07-06,PBF,-0.45796033476678205,0.22,Today to 3 days ahead,-0.10075127364869205
2020-07-06,IMGN,0.8067067635310029,0.14,Today to 3 days ahead,0.11293894689434042
2020-07-06,PRGX,0.9114477671838979,0.14,Today to 3 days ahead,0.1276026874057457
2020-07-06,OI,0.9238914601336214,0.18,Today to 3 days ahead,0.16630046282405186
2020-07-06,AR,1.17494275831435,0.19,Today to 3 days ahead,0.2232391240797265
2020-07-06,USAK,1.3283896119089005,0.11,Today to 3 days ahead,0.14612285730997907
2020-07-06,CPST,1.3371254459588375,0.12,Today to 3 days ahead,0.1604550535150605
2020-07-06,HIMX,1.402969311796273,0.08,Today to 3 days ahead,0.11223754494370183
2020-07-06,TUP,2.1568621271735076,0.14,Today to 3 days ahead,0.3019606978042911
2020-07-06,CLMT,-0.6236461574593161,0.19,Today to 3 days ahead,-0.11849276991727005
2020-07-06,SPPI,0.9744412515235462,0.22,7 days,0.21437707533518016
2020-07-06,VGR,-0.7424666267127054,0.17,7 days,-0.12621932654115992
2020-07-06,PBF,-0.7946958750364747,0.25,7 days,-0.19867396875911866
2020-07-06,ERII,-1.5317292588778324,0.11,14 days,-0.16849021847656157
2020-07-06,QUIK,-1.521230769289654,0.21,14 days,-0.31945846155082736
2020-07-06,PTEN,-1.2047171073334693,0.36,14 days,-0.4336981586400489
2020-07-06,RRGB,-1.193898039713732,0.2,14 days,-0.2387796079427464
2020-07-06,NAT,-1.1729684412102237,0.27,14 days,-0.31670147912676044
2020-07-06,ICAD,-0.9685144078936823,0.17,14 days,-0.164647449341926
2020-07-06,DHX,-0.8979901484247543,0.2,14 days,-0.17959802968495087
2020-07-06,VGR,-0.8490089229226006,0.23,14 days,-0.19527205227219813
2020-07-06,X,-0.8384754612768076,0.3,14 days,-0.25154263838304225
2020-07-06,DPW,1.3893466451105516,0.2,14 days,0.2778693290221103
2020-07-06,DVAX,1.6298548695560409,0.18,14 days,0.29337387652008734
2020-07-06,IDEX,1.6328302391213494,0.18,14 days,0.29390944304184285
2020-07-06,PRGX,1.7416424388436496,0.3,14 days,0.5224927316530948
2020-07-06,HIMX,1.882032003629146,0.13,14 days,0.244664160471789
2020-07-06,CPST,2.231227400786735,0.19,14 days,0.42393320614947966
2020-07-06,USAK,2.5106133765527443,0.18,14 days,0.451910407779494
2020-07-06,TUP,4.078534501117989,0.2,14 days,0.8157069002235979
2020-07-06,FRAN,4.826970042284821,0.24,14 days,1.158472810148357
2020-07-06,YRCW,28.90835412873403,0.2,14 days,5.781670825746806
2020-07-06,ERII,-1.6271911390345244,0.08,7 days,-0.13017529112276197
2020-07-06,BGG,-1.5098256138834378,0.24,7 days,-0.3623581473320251
2020-07-06,QUIK,-1.1978922454527845,0.15,7 days,-0.17968383681791766
2020-07-06,PTEN,-1.1944203799203625,0.31,7 days,-0.3702703177753124
2020-07-06,VKTX,-0.9765892959924873,0.18,7 days,-0.1757860732786477
2020-07-06,RRGB,-0.929322296840883,0.15,7 days,-0.13939834452613245
2020-07-06,CLMT,-0.85412408521602,0.23,7 days,-0.1964485395996846
2020-07-06,NAT,-0.8256331260945747,0.2,7 days,-0.16512662521891497
2020-07-06,DHX,-318.0931684491972,0.7,year,-222.66521791443805
2020-07-06,FRAN,3.1696683175838967,0.17,Today to 3 days ahead,0.5388436139892625
2023-07-05,WKHS,1.659878758753614,0.25,Today to 3 days ahead,0.4149696896884035
